Family,Rep,PS
27.001,1,71.42857143
27.001,2,97.14285714
27.001,3,42.85714286
27.001,4,71.42857143
27.002,1,71.42857143
27.002,2,62.85714286
27.002,3,54.28571429
27.002,4,82.85714286
27.003,1,100
27.003,2,97.14285714
27.003,3,82.85714286
27.003,4,85.71428571
27.004,1,77.14285714
27.004,2,94.28571429
27.004,3,65.71428571
27.004,4,100
27.005,1,91.42857143
27.005,2,100
27.005,3,88.57142857
27.005,4,74.28571429
27.009,1,31.42857143
27.009,2,54.28571429
27.009,3,31.42857143
27.009,4,62.85714286
27.01,1,68.57142857
27.01,2,34.28571429
27.01,3,97.14285714
27.01,4,74.28571429
27.011,1,94.28571429
27.011,2,71.42857143
27.011,3,100
27.011,4,100
27.012,1,94.28571429
27.012,2,100
27.012,3,100
27.012,4,97.14285714
27.013,1,57.14285714
27.013,2,37.14285714
27.013,3,97.14285714
27.013,4,54.28571429
27.014,1,31.42857143
27.014,2,100
27.014,3,40
27.014,4,100
27.015,1,60
27.015,2,100
27.015,3,42.85714286
27.015,4,71.42857143
27.016,1,91.42857143
27.016,2,100
27.016,3,80
27.016,4,97.14285714
27.017,1,51.42857143
27.017,2,62.85714286
27.017,3,51.42857143
27.017,4,62.85714286
27.019,1,31.42857143
27.019,2,60
27.019,3,42.85714286
27.019,4,85.71428571
27.02,1,97.14285714
27.02,2,77.14285714
27.02,3,100
27.02,4,74.28571429
27.021,1,82.85714286
27.021,2,100
27.021,3,48.57142857
27.021,4,62.85714286
27.022,1,94.28571429
27.022,2,77.14285714
27.022,3,100
27.022,4,54.28571429
27.023,1,100
27.023,2,100
27.023,3,100
27.023,4,57.14285714
27.025,1,100
27.025,2,100
27.025,3,88.57142857
27.025,4,100
27.026,1,77.14285714
27.026,2,97.14285714
27.026,3,85.71428571
27.026,4,85.71428571
27.027,1,65.71428571
27.027,2,54.28571429
27.027,3,100
27.027,4,100
27.028,1,88.57142857
27.028,2,100
27.028,3,100
27.028,4,100
27.029,1,100
27.029,2,82.85714286
27.029,3,60
27.029,4,71.42857143
27.031,1,68.57142857
27.031,2,100
27.031,3,60
27.031,4,97.14285714
27.032,1,94.28571429
27.032,2,100
27.032,3,91.42857143
27.032,4,100
27.033,1,57.14285714
27.033,2,57.14285714
27.033,3,82.85714286
27.033,4,62.85714286
27.034,1,91.42857143
27.034,2,97.14285714
27.034,3,100
27.034,4,74.28571429
27.035,1,91.42857143
27.035,2,100
27.035,3,97.14285714
27.035,4,100
27.036,1,91.42857143
27.036,2,100
