Day,Group,Rep,OsHV1copies
1,R,1,227.6
1,R,2,261
1,R,3,381.8
1,S,1,67080
1,S,2,164.1
1,S,3,471
1,MBP,1,117.5
1,MBP,2,2306
1,MBP,3,210200
2,R,1,395.2
2,R,2,443
2,R,3,816.6
2,S,1,4260000
2,S,2,817600
2,S,3,92620
2,MBP,1,1022200
2,MBP,2,972.6
2,MBP,3,553.4
3,R,1,726.6
3,R,2,333.6
3,R,3,523.4
3,S,1,1069.6
3,S,2,83.98
3,S,3,308
3,MBP,1,190780
3,MBP,2,211
3,MBP,3,118.58
4,R,1,246.2
4,R,2,58.86
4,R,3,8196
4,S,1,64.96
4,S,2,72.9
4,S,3,77.38
4,MBP,1,4264000
4,MBP,2,423.2
4,MBP,3,5370000
5,R,1,2542
5,R,2,1419.2
5,R,3,178.1
5,S,1,5040000
5,S,2,9060000
5,S,3,18906000
5,MBP,1,19070000
5,MBP,2,1042
5,MBP,3,1046.4
6,R,1,18.85
6,R,2,20.32
6,R,3,21.76
6,S,1,5880000
6,S,2,7286000
6,S,3,6680000
6,MBP,1,3246000
6,MBP,2,755600
6,MBP,3,251.4
7,R,1,53.1
7,R,2,32.4
7,R,3,115.12
7,S,1,2648000
7,S,2,4240000
7,S,3,285
7,MBP,1,5370000
7,MBP,2,4768000
7,MBP,3,7998000
