Family,Status,OsHV1copies
27.001,Dead,6.10E+09
27.001,Dead,9.87E+09
27.001,Dead,2.17E+10
27.001,Live,1.50E+05
27.001,Live,1.65E+09
27.001,Live,2.28E+06
27.004,Live,5.30E+09
27.004,Live,2.38E+10
27.004,Live,6.54E+09
27.004,Dead,1.23E+10
27.005,Live,0.00E+00
27.005,Live,0.00E+00
27.009,Dead,5.93E+09
27.009,Live,6.86E+09
27.009,Dead,6.59E+08
27.009,Live,1.62E+09
27.014,Dead,2.02E+09
27.014,Dead,2.34E+09
27.014,Dead,3.24E+09
27.014,Live,1.86E+08
27.02,Dead,6.99E+09
27.02,Live,9.44E+07
27.02,Dead,5.55E+09
27.02,Live,2.95E+05
27.02,Live,0.00E+00
27.02,Live,7.97E+05
27.021,Dead,5.39E+09
27.021,Live,8.04E+03
27.036,Live,4.06E+03
27.036,Live,4.11E+03
27.04,Dead,4.48E+08
27.04,Live,3.09E+05
27.04,Dead,4.80E+06
27.053,Live,2.99E+03
27.053,Live,9.13E+03
27.056,Live,3.56E+03
27.056,Live,3.52E+03
27.058,Live,0.00E+00
27.058,Live,0.00E+00
27.067,Dead,1.08E+09
27.067,Dead,2.28E+09
27.067,Dead,4.90E+09
27.067,Live,1.46E+09
27.067,Live,3.31E+07
27.067,Live,2.26E+08
27.067,Live,4.36E+08
27.073,Dead,1.60E+09
27.073,Dead,8.44E+08
27.087,Dead,1.71E+08
27.087,Dead,1.94E+08
27.087,Dead,7.00E+08
27.087,Live,2.51E+07
27.087,Live,3.63E+09
